"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-01","33","25","25"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-02","25","18","18"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-03","23","15","15"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-04","29","14","29"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-05","35","29","30"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-06","32","14","14"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-07","14","11","12"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-08","18","12","18"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-09","29","18","27"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-10","27","7","7"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-11","10","7","10"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-12","31","10","31"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-13","31","24","24"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-14","30","9","9"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-15","12","6","6"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-16","16","5","10"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-17","27","10","27"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-18","27","25","25"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-19","39","24","24"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-20","24","13","13"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-21","15","13","15"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-22","22","15","22"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-23","22","12","16"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-24","17","15","16"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-25","20","13","13"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-26","15","7","10"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-27","25","10","25"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-28","26","12","12"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-29","18","7","7"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-30","20","7","20"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-01-31","27","20","23"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-01","32","23","32"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-02","46","21","21"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-03","21","15","15"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-04","15","0","7"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-05","16","7","9"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-06","25","9","25"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-07","34","24","24"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-08","25","22","23"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-09","37","23","32"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-10","38","26","26"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-11","35","24","35"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-12","39","11","11"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-13","12","7","8"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-14","15","2","9"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-15","19","9","18"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-16","44","17","44"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-17","48","23","23"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-18","23","14","14"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-19","27","12","14"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-20","21","13","21"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-21","43","21","21"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-22","25","20","20"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-23","20","13","13"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-24","18","10","11"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-25","22","11","17"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-26","22","17","19"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-27","30","19","27"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-02-28","27","18","18"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-01","30","18","30"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-02","30","16","20"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-03","30","17","20"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-04","23","12","15"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-05","32","15","31"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-06","48","31","48"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-07","48","29","29"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-08","30","17","21"
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2022-03-09","37","21","29"
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-01",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-02",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-03",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-04",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-05",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-06",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-07",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-08",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-09",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-10",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-11",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-12",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-13",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-14",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-15",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-16",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-17",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-18",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-19",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-20",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-21",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-22",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-23",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-24",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-25",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-26",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-27",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-28",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-29",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-30",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-01-31",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-01",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-02",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-03",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-04",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-05",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-06",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-07",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-08",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-09",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-10",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-11",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-12",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-13",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-14",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-15",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-16",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-17",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-18",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-19",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-20",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-21",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-22",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-23",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-24",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-25",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-26",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-27",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-02-28",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-01",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-02",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-03",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-04",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-05",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-06",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-07",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-08",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-09",,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2022-03-10",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-01",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-02",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-03",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-04",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-05",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-06",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-07",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-08",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-09",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-10",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-11",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-12",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-13",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-14",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-15",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-16",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-17",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-18",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-19",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-20",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-21",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-22",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-23",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-24",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-25",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-26",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-27",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-28",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-29",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-30",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-01-31",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-01",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-02",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-03",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-04",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-05",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-06",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-07",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-10",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-11",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-12",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-16",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-17",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-18",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-19",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-20",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-21",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-22",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-23",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-24",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-25",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-26",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-27",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-02-28",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-01",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-02",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-03",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-04",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-05",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-06",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-07",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-08",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-09",,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2022-03-10",,,
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-01","31","20","20"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-02","21","16","19"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-03","29","7","27"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-04","35","26","31"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-05","34","25","25"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-06","25","12","12"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-07","19","11","15"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-08","27","3","26"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-09","30","13","13"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-10","13","6","8"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-11","24","8","24"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-12","31","21","21"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-13","31","20","30"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-14","31","8","8"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-15","16","3","5"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-16","25","5","23"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-17","28","21","25"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-18","32","22","31"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-19","39","16","16"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-20","17","12","13"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-21","22","12","21"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-22","24","19","19"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-23","19","12","15"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-24","19","11","17"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-25","18","10","10"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-26","15","4","9"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-27","26","9","19"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-28","19","11","16"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-29","23","8","18"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-30","25","12","22"
"USC00205097","MAPLE CITY 1 E, MI US","2022-01-31","29","19","27"
"USC00205097","MAPLE CITY 1 E, MI US","2022-02-01","45","25","39"
